"","sample.ID","seq.ID","fill_col"
"1","AU18_0062_blank","blank_seq","blank_seq"
"2","AU18_0063_blank","blank_seq","blank_seq"
"3","AU18_0064_blank","blank_seq","blank_seq"
"4","AU18_0065_blank","blank_seq","blank_seq"
"5","AU18_0067_blank","blank_seq","blank_seq"
"6","AU18_0068_blank","blank_seq","blank_seq"
"7","AU18_0069_blank","blank_seq","blank_seq"
"8","AU18_0070_blank","blank_seq","blank_seq"
"9","AU18_0071_blank","blank_seq","blank_seq"
"10","AU18_0072_blank","blank_seq","blank_seq"
"11","AU18_0100_blank","blank_seq","blank_seq"
"12","AU18_0108_blank","blank_seq","blank_seq"
"13","AU18_0111_blank","blank_seq","blank_seq"
"14","AU18_0112_blank","blank_seq","blank_seq"
"15",NA,"blank_seq","blank_seq"
"16","AU18_0162_blank","blank_seq","blank_seq"
"17","AU18_0163_blank","blank_seq","blank_seq"
"18","AU18_0164_blank","blank_seq","blank_seq"
"19","AU18_0165_blank","blank_seq","blank_seq"
"20","AU18_0170_blank","blank_seq","blank_seq"
"21","AU18_0220_blank","blank_seq","blank_seq"
"22","AU18_0237_blank","blank_seq","blank_seq"
"23","AU18_0248_blank","blank_seq","blank_seq"
"24","AU18_0251_blank","blank_seq","blank_seq"
"25","AU18_0254_blank","blank_seq","blank_seq"
"26","AU18_0256_blank","blank_seq","blank_seq"
"27",NA,"blank_seq","blank_seq"
"28","AU18_0260_blank","blank_seq","blank_seq"
"29","AU18_0281_blank","blank_seq","blank_seq"
"30","AU18_0288_blank","blank_seq","blank_seq"
"31","AU18_0311_blank","blank_seq","blank_seq"
"32","AU18_0319_blank","blank_seq","blank_seq"
"33","AU18_0331_blank","blank_seq","blank_seq"
"34","AU18_0332_blank","blank_seq","blank_seq"
"35","AU18_0359_blank","blank_seq","blank_seq"
"36","AU18_0387_blank","blank_seq","blank_seq"
"37","AU18_0388_blank","blank_seq","blank_seq"
"38","AU18_0389_blank","blank_seq","blank_seq"
"39","AU18_0432_blank","blank_seq","blank_seq"
"40","AU18_0456_blank","blank_seq","blank_seq"
"41","AU18_0457_blank","blank_seq","blank_seq"
"42","AU18_0458_blank","blank_seq","blank_seq"
"43","AU18_0459_blank","blank_seq","blank_seq"
"44","AU18_0460_blank","blank_seq","blank_seq"
"45","AU18_0463_blank","blank_seq","blank_seq"
"46","AU18_0468_blank","blank_seq","blank_seq"
"47","AU18_0469_blank","blank_seq","blank_seq"
"48","AU18_0470_blank","blank_seq","blank_seq"
"49","AU18_0472_blank","blank_seq","blank_seq"
"50","AU18_0474_blank","blank_seq","blank_seq"
"51","AU18_0482_blank","blank_seq","blank_seq"
"52","AU18_0483_blank","blank_seq","blank_seq"
"53","AU18_0485_blank","blank_seq","blank_seq"
"54","AU18_0520_blank","blank_seq","blank_seq"
"55","AU18_0583_blank","blank_seq","blank_seq"
"56","AU18_0586_blank","blank_seq","blank_seq"
"57","AU18_0587_blank","blank_seq","blank_seq"
"58","AU18_0588_blank","blank_seq","blank_seq"
"59","AU18_0589_blank","blank_seq","blank_seq"
"60","AU18_0590_blank","blank_seq","blank_seq"
"61","AU18_0592_blank","blank_seq","blank_seq"
"62","AU18_0596_blank","blank_seq","blank_seq"
"63","AU18_0597_blank","blank_seq","blank_seq"
"64","AU18_0599_blank","blank_seq","blank_seq"
"65","AU18_0612_blank","blank_seq","blank_seq"
"66","AU18_0614_blank","blank_seq","blank_seq"
"67","AU18_0615_blank","blank_seq","blank_seq"
"68","AU18_0617_blank","blank_seq","blank_seq"
"69","AU18_0632_blank","blank_seq","blank_seq"
"70","AU18_0685_blank","blank_seq","blank_seq"
"71","AU18_0686_blank","blank_seq","blank_seq"
"72","AU18_0688_blank","blank_seq","blank_seq"
"73","AU18_0692_blank","blank_seq","blank_seq"
"74","AU18_0695_blank","blank_seq","blank_seq"
"75","AU18_0696_blank","blank_seq","blank_seq"
"76","AU18_0700_blank","blank_seq","blank_seq"
"77","AU18_0702_blank","blank_seq","blank_seq"
"78","AU18_0737_blank","blank_seq","blank_seq"
"79","AU18_0742_blank","blank_seq","blank_seq"
"80","AU18_0744_blank","blank_seq","blank_seq"
"81","AU18_0745_blank","blank_seq","blank_seq"
"82","AU18_0747_blank","blank_seq","blank_seq"
"83","AU18_0748_blank","blank_seq","blank_seq"
"84","AU18_0821_blank","blank_seq","blank_seq"
"85","AU18_0824_blank","blank_seq","blank_seq"
"86","AU18_0876_blank","blank_seq","blank_seq"
"87","AU18_0895_blank","blank_seq","blank_seq"
"88","AU18_0908_blank","blank_seq","blank_seq"
