"","sample.ID","seq.ID","abundance"
"1","AU18_0457","C22",553
"2","AU18_0457","C22ad",878
"3","AU18_0457","C3",269
"4","AU18_0457","C22ah",27
"5","AU18_0457","37253_C",31
"6","AU18_0457","C21",8
"7","AU18_0457","1612485_C",11
"8","AU18_0457","1670426_C",10
"9","AU18_0457","1645877_C",11
"10","AU18_0359","C22",3463
"11","AU18_0359","C22ad",1345
"12","AU18_0359","C3",728
"13","AU18_0359","C22ah",235
"14","AU18_0359","1611788_C",127
"15","AU18_0359","1645568_C",113
"16","AU18_0359","1147954_C",82
"17","AU18_0359","1148411_C",87
"18","AU18_0359","37253_C",38
"19","AU18_0359","1630543_C",51
"20","AU18_1040","C22",3896
"21","AU18_1040","C22ad",1734
"22","AU18_1040","C3",769
"23","AU18_1040","C22ah",265
"24","AU18_1040","1611788_C",131
"25","AU18_1040","1645568_C",121
"26","AU18_1040","1147954_C",100
"27","AU18_1040","1148411_C",82
"28","AU18_1040","37253_C",41
"29","AU18_1040","1630543_C",49
"30","AU18_1040","1626916_C",40
"31","AU18_1040","1670084_C",31
"32","AU18_0482","C22",2290
"33","AU18_0482","C22ad",1302
"34","AU18_0482","C3",578
"35","AU18_0482","C22ah",159
"36","AU18_0482","1611788_C",88
"37","AU18_0482","1645568_C",89
"38","AU18_0482","1147954_C",44
"39","AU18_0482","1148411_C",42
"40","AU18_0482","1630543_C",42
"41","AU18_0482","1680592_C",42
"42","AU18_0482","2174376_C",20
"43","AU18_0482","1611789_C",38
"44","AU18_0388","C22",3865
"45","AU18_0388","C22ad",1522
"46","AU18_0388","C3",654
"47","AU18_0388","C22ah",262
"48","AU18_0388","1611788_C",123
"49","AU18_0388","1645568_C",124
"50","AU18_0388","1147954_C",99
"51","AU18_0388","1148411_C",115
"52","AU18_0388","37253_C",47
"53","AU18_0388","1630543_C",51
"54","AU18_0388","1612485_C",50
"55","AU18_0696","C22",1652
"56","AU18_0696","C22ad",584
"57","AU18_0696","C3",372
"58","AU18_0696","C22ah",120
"59","AU18_0696","1611788_C",60
"60","AU18_0696","1645568_C",35
"61","AU18_0696","1147954_C",51
"62","AU18_0696","C21",29
"63","AU18_0696","1630543_C",29
"64","AU18_0696","1626916_C",13
"65","AU18_0696","2174376_C",22
"66","AU18_0696","21025_C",13
"67","AU18_0696","1653201_C",19
"68","AU18_0100","C22",2896
"69","AU18_0100","C22ad",1686
"70","AU18_0100","C3",638
"71","AU18_0100","C22ah",214
"72","AU18_0100","1611788_C",96
"73","AU18_0100","1645568_C",96
"74","AU18_0100","1147954_C",75
"75","AU18_0100","1148411_C",82
"76","AU18_0100","37253_C",36
"77","AU18_0100","1630543_C",61
"78","AU18_0100","1622915_C",39
"79","AU18_0100","1670084_C",26
"80","AU18_0100","2786619_C",38
"81","AU18_0961","C22",2975
"82","AU18_0961","C22ad",1189
"83","AU18_0961","C3",716
"84","AU18_0961","C22ah",260
"85","AU18_0961","1611788_C",103
"86","AU18_0961","1147954_C",76
"87","AU18_0961","1148411_C",54
"88","AU18_0961","37253_C",36
"89","AU18_0961","1630543_C",38
"90","AU18_0961","1612485_C",56
"91","AU18_0961","1626916_C",25
"92","AU18_0961","2174376_C",24
"93","AU18_0961","1670084_C",24
"94","AU18_0961","1626350_C",50
"95","AU18_0961","1670160_C",38
"96","AU18_0458","C22",3099
"97","AU18_0458","C22ad",1381
"98","AU18_0458","C3",569
"99","AU18_0458","C22ah",216
"100","AU18_0458","1611788_C",104
"101","AU18_0458","1645568_C",102
"102","AU18_0458","1147954_C",72
"103","AU18_0458","1148411_C",82
"104","AU18_0458","37253_C",29
"105","AU18_0458","1630543_C",43
"106","AU18_0458","1670084_C",24
"107","AU18_0458","2885807_C",84
"108","AU18_0389","C22",3250
"109","AU18_0389","C22ad",1191
"110","AU18_0389","C3",724
"111","AU18_0389","C22ah",234
"112","AU18_0389","1611788_C",104
"113","AU18_0389","1645568_C",103
"114","AU18_0389","1147954_C",91
"115","AU18_0389","1148411_C",93
"116","AU18_0389","37253_C",43
"117","AU18_0389","C21",43
"118","AU18_0389","1630543_C",47
"119","AU18_0389","1626916_C",26
"120","AU18_0389","D1",4
"121","AU18_0456","C22",1774
"122","AU18_0456","C22ad",688
"123","AU18_0456","C3",501
"124","AU18_0456","C22ah",111
"125","AU18_0456","1611788_C",35
"126","AU18_0456","1645568_C",54
"127","AU18_0456","1147954_C",28
"128","AU18_0456","1148411_C",39
"129","AU18_0456","37253_C",38
"130","AU18_0456","C21",16
"131","AU18_0456","1630543_C",20
"132","AU18_0456","1612485_C",18
"133","AU18_0456","1645678_C",30
"134","AU18_0456","1670084_C",15
"135","AU18_0456","C3dw",13
"136","AU18_0456","1630513_C",17
"137","AU18_1081","C22",2881
"138","AU18_1081","C22ad",1098
"139","AU18_1081","C3",999
"140","AU18_1081","C22ah",203
"141","AU18_1081","1611788_C",83
"142","AU18_1081","1645568_C",86
"143","AU18_1081","1147954_C",66
"144","AU18_1081","1148411_C",71
"145","AU18_1081","37253_C",39
"146","AU18_1081","C21",56
"147","AU18_1081","1630543_C",36
"148","AU18_1081","1612485_C",34
"149","AU18_1081","1645678_C",40
"150","AU18_1081","1622915_C",44
"151","AU18_1071","C22",4166
"152","AU18_1071","C22ad",1480
"153","AU18_1071","C3",1451
"154","AU18_1071","C22ah",240
"155","AU18_1071","1611788_C",130
"156","AU18_1071","1645568_C",121
"157","AU18_1071","1147954_C",107
"158","AU18_1071","1148411_C",111
"159","AU18_1071","37253_C",100
"160","AU18_1071","C21",52
"161","AU18_1071","1630543_C",56
"162","AU18_1071","1645678_C",69
"163","AU18_1071","1670084_C",44
"164","AU18_0254","C22",3140
"165","AU18_0254","C22ad",1483
"166","AU18_0254","C3",1058
"167","AU18_0254","C22ah",212
"168","AU18_0254","1611788_C",111
"169","AU18_0254","1645568_C",96
"170","AU18_0254","1147954_C",89
"171","AU18_0254","1148411_C",44
"172","AU18_0254","37253_C",63
"173","AU18_0254","C21",68
"174","AU18_0254","1630543_C",48
"175","AU18_0254","2174376_C",27
"176","AU18_0254","1622915_C",51
"177","AU18_0254","2786619_C",38
"178","AU18_1138","C22",10179
"179","AU18_1138","C22ad",3585
"180","AU18_1138","C3",2264
"181","AU18_1138","C22ah",810
"182","AU18_1138","1611788_C",333
"183","AU18_1138","1645568_C",374
"184","AU18_1138","1147954_C",315
"185","AU18_1138","1148411_C",280
"186","AU18_1138","37253_C",125
"187","AU18_1138","1630543_C",127
"188","AU18_1138","1612485_C",148
"189","AU18_1138","1645678_C",127
"190","AU18_0596","C22",1784
"191","AU18_0596","C22ad",709
"192","AU18_0596","C3",718
"193","AU18_0596","C22ah",120
"194","AU18_0596","1611788_C",71
"195","AU18_0596","1645568_C",57
"196","AU18_0596","1147954_C",43
"197","AU18_0596","1148411_C",29
"198","AU18_0596","37253_C",35
"199","AU18_0596","C21",35
"200","AU18_0596","1630543_C",18
"201","AU18_0596","C3n",36
"202","AU18_0596","1626916_C",22
"203","AU18_0596","21025_C",17
"204","AU18_0742","C22",1903
"205","AU18_0742","C22ad",918
"206","AU18_0742","C3",372
"207","AU18_0742","C22ah",125
"208","AU18_0742","1611788_C",73
"209","AU18_0742","1645568_C",70
"210","AU18_0742","1147954_C",45
"211","AU18_0742","1148411_C",44
"212","AU18_0742","37253_C",33
"213","AU18_0742","C21",31
"214","AU18_0742","1630543_C",20
"215","AU18_0742","1612485_C",20
"216","AU18_0742","1626916_C",16
"217","AU18_0742","1670084_C",18
"218","AU18_0587","C22",3244
"219","AU18_0587","C22ad",1038
"220","AU18_0587","C3",752
"221","AU18_0587","C22ah",302
"222","AU18_0587","1611788_C",136
"223","AU18_0587","1645568_C",134
"224","AU18_0587","1147954_C",83
"225","AU18_0587","1148411_C",69
"226","AU18_0587","37253_C",37
"227","AU18_0587","1630543_C",48
"228","AU18_0587","1626916_C",30
"229","AU18_0587","2174376_C",33
"230","AU18_0587","1662001_C",59
"231","AU18_0614","C22",3680
"232","AU18_0614","C22ad",1719
"233","AU18_0614","C3",905
"234","AU18_0614","C22ah",230
"235","AU18_0614","1611788_C",169
"236","AU18_0614","1645568_C",121
"237","AU18_0614","1147954_C",141
"238","AU18_0614","1148411_C",108
"239","AU18_0614","37253_C",52
"240","AU18_0614","1630543_C",64
"241","AU18_0614","1612485_C",45
"242","AU18_0614","1626916_C",36
"243","AU18_0614","1611789_C",39
"244","AU18_0583","C22",4214
"245","AU18_0583","C22ad",1881
"246","AU18_0583","C3",523
"247","AU18_0583","C22ah",261
"248","AU18_0583","1611788_C",132
"249","AU18_0583","1645568_C",112
"250","AU18_0583","1147954_C",78
"251","AU18_0583","1148411_C",126
"252","AU18_0583","37253_C",55
"253","AU18_0583","1630543_C",64
"254","AU18_0583","1612485_C",52
"255","AU18_0583","1680592_C",91
"256","AU18_0583","1622915_C",65
"257","AU18_0583","1637611_C",45
"258","AU18_0331","C22",2552
"259","AU18_0331","C22ad",1216
"260","AU18_0331","C3",815
"261","AU18_0331","C22ah",171
"262","AU18_0331","1611788_C",78
"263","AU18_0331","1645568_C",80
"264","AU18_0331","1147954_C",63
