"","sample.ID","rn","facet_column","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col"
"1","AU18_0062",1,"a","66904_C",26,26,6386,0.00407140620106483,"66904_C"
"2","AU18_0062",1,"a","42703_C",32,58,6386,0.00908236767929847,"42703_C"
"3","AU18_0062",1,"a","103346_C",39,97,6386,0.0151894769808957,"103346_C"
"4","AU18_0062",1,"a","C3tq",40,137,6386,0.0214531788286878,"C3tq"
"5","AU18_0062",1,"a","9945_C",42,179,6386,0.0280300657688694,"9945_C"
"6","AU18_0062",1,"a","C3.10",43,222,6386,0.0347635452552459,"C3.10"
"7","AU18_0062",1,"a","6379_C",45,267,6386,0.0418102098340119,"6379_C"
"8","AU18_0062",1,"a","C3ed",46,313,6386,0.0490134669589728,"C3ed"
"9","AU18_0062",1,"a","54364_C",46,359,6386,0.0562167240839336,"54364_C"
"10","AU18_0062",1,"a","2595310_C",50,409,6386,0.0640463513936737,"2595310_C"
"11","AU18_0062",1,"a","39266_C",50,459,6386,0.0718759787034137,"39266_C"
"12","AU18_0062",1,"a","24192_C",50,509,6386,0.0797056060131538,"24192_C"
"13","AU18_0062",1,"a","2885773_C",53,562,6386,0.0880050109614782,"2885773_C"
"14","AU18_0062",1,"a","C39ab",55,617,6386,0.0966176010021923,"C39ab"
"15","AU18_0062",1,"a","54400_C",61,678,6386,0.106169746320075,"54400_C"
"16","AU18_0062",1,"a","333087_C",74,752,6386,0.11775759473849,"333087_C"
"17","AU18_0062",1,"a","1398203_C",86,838,6386,0.131224553711243,"1398203_C"
"18","AU18_0062",1,"a","2426_C",92,930,6386,0.145631067961165,"2426_C"
"19","AU18_0062",1,"a","40627_C",120,1050,6386,0.164422173504541,"40627_C"
"20","AU18_0062",1,"a","C3an",152,1202,6386,0.188224240526151,"C3an"
"21","AU18_0062",1,"a","C42.2",161,1363,6386,0.213435640463514,"C42.2"
"22","AU18_0062",1,"a","C3.12",164,1527,6386,0.239116818039461,"C3.12"
"23","AU18_0062",1,"a","2778029_C",230,1757,6386,0.275133103664266,"2778029_C"
"24","AU18_0062",1,"a","C21",247,2004,6386,0.313811462574381,"C21"
"25","AU18_0062",1,"a","C1",322,2326,6386,0.364234262449107,"C1"
"26","AU18_0062",1,"a","C3",4060,6386,6386,1,"C3"
"27","AU18_0063",2,"a","C3ub",21,21,5234,0.00401222774168896,"C3ub"
"28","AU18_0063",2,"a","1401978_C",22,43,5234,0.00821551394726786,"1401978_C"
"29","AU18_0063",2,"a","100944_C",24,67,5234,0.0128009170806267,"100944_C"
"30","AU18_0063",2,"a","C3ed",29,96,5234,0.0183416125334352,"C3ed"
"31","AU18_0063",2,"a","1428436_C",29,125,5234,0.0238823079862438,"1428436_C"
"32","AU18_0063",2,"a","2885774_C",31,156,5234,0.0298051203668322,"2885774_C"
"33","AU18_0063",2,"a","2885797_C",33,189,5234,0.0361100496752006,"2885797_C"
"34","AU18_0063",2,"a","2885777_C",38,227,5234,0.0433702713030187,"2885777_C"
