"","sample.ID","seq.ID","abundance","fill_col"
"1","AU18_0389","D1",4,"D1"
"2","AU18_0332","1645678_C",4,"1645678_C"
"3","AU18_0332","2786619_C",4,"2786619_C"
"4","AU18_0332","2282565_C",4,"2282565_C"
"5","AU18_0332","1645877_C",4,"1645877_C"
"6","AU18_0910","A1",4,"A1"
"7","AU18_0895","D17d",4,"D17d"
"8","AU18_0895","D17c",4,"D17c"
"9","AU18_1010","D2.2",4,"D2.2"
"10","AU18_1010","2885791_D",4,"2885791_D"
"11","AU18_1010","D1dm",4,"D1dm"
"12","AU18_1010","6624_D",4,"6624_D"
"13","AU18_1010","25651_D",4,"25651_D"
"14","AU18_0071","C22",4,"C22"
"15","AU18_0071","C3",4,"C3"
"16","AU18_0071","C8a",4,"C8a"
"17","AU18_0071","1031429_C",4,"1031429_C"
"18","AU18_0071","2783442_C",4,"2783442_C"
"19","AU18_0071","2783357_C",4,"2783357_C"
"20","AU18_0071","1631480_C",4,"1631480_C"
"21","AU18_0237","2783481_C",4,"2783481_C"
"22","AU18_0237","1150766_C",4,"1150766_C"
"23","AU18_0237","1163943_C",4,"1163943_C"
"24","AU18_0237","962494_C",4,"962494_C"
"25","AU18_0237","2885751_C",4,"2885751_C"
"26","AU18_0237","2885750_C",4,"2885750_C"
"27","AU18_0237","2785003_C",4,"2785003_C"
"28","AU18_0821","C78c",4,"C78c"
"29","AU18_0468","C54l",4,"C54l"
"30","AU18_0468","C1cb",4,"C1cb"
"31","AU18_0065","2885777_C",4,"2885777_C"
"32","AU18_0065","2885778_C",4,"2885778_C"
"33","AU18_0065","2885776_C",4,"2885776_C"
"34","AU18_0065","2885775_C",4,"2885775_C"
"35","AU18_0113","C42e",4,"C42e"
"36","AU18_0319","D17d",4,"D17d"
"37","AU18_0319","D17e",4,"D17e"
"38","AU18_0319","D17c",4,"D17c"
"39","AU18_0319","2885785_D",4,"2885785_D"
"40","AU18_0319","2885784_D",4,"2885784_D"
"41","AU18_0747","2885743_D",4,"2885743_D"
"42","AU18_0747","40982_D",4,"40982_D"
"43","AU18_0632","65155_C",4,"65155_C"
"44","AU18_0737","1612485_C",5,"1612485_C"
"45","AU18_0737","1670426_C",5,"1670426_C"
"46","AU18_0332","1148411_C",5,"1148411_C"
"47","AU18_0332","1630543_C",5,"1630543_C"
"48","AU18_0332","D4ae",5,"D4ae"
"49","AU18_0332","D17d",5,"D17d"
"50","AU18_0332","25566_D",5,"25566_D"
"51","AU18_0963","G3a",5,"G3a"
"52","AU18_0824","D1id",5,"D1id"
"53","AU18_0485","C79b",5,"C79b"
"54","AU18_0485","C54b",5,"C54b"
"55","AU18_0485","C1j",5,"C1j"
"56","AU18_0485","D1",5,"D1"
"57","AU18_0895","D17e",5,"D17e"
"58","AU18_1010","D4ae",5,"D4ae"
"59","AU18_0071","C42e",5,"C42e"
"60","AU18_0071","1685230_C",5,"1685230_C"
"61","AU18_0237","C3",5,"C3"
"62","AU18_0237","44745_C",5,"44745_C"
"63","AU18_0237","C3mk",5,"C3mk"
"64","AU18_0237","91418_C",5,"91418_C"
"65","AU18_0067","20466_C",5,"20466_C"
"66","AU18_0067","2885767_C",5,"2885767_C"
"67","AU18_0067","2783601_C",5,"2783601_C"
"68","AU18_0821","C1",5,"C1"
"69","AU18_0821","C8",5,"C8"
"70","AU18_0748","37253_C",5,"37253_C"
"71","AU18_0748","C79",5,"C79"
"72","AU18_0748","C79b",5,"C79b"
"73","AU18_0748","1084218_C",5,"1084218_C"
"74","AU18_0468","C50b",5,"C50b"
"75","AU18_0468","C1an",5,"C1an"
"76","AU18_0065","333087_C",5,"333087_C"
"77","AU18_0065","C3ub",5,"C3ub"
"78","AU18_0113","C22ad",5,"C22ad"
"79","AU18_0113","C3ed",5,"C3ed"
"80","AU18_0319","764365_D",5,"764365_D"
"81","AU18_0747","D17c",5,"D17c"
"82","AU18_0747","10616_D",5,"10616_D"
"83","AU18_neg12","C54m",5,"C54m"
"84","AU18_neg12","870369_C",5,"870369_C"
"85","AU18_neg12","8017_C",5,"8017_C"
"86","AU18_neg12","791026_C",5,"791026_C"
"87","AU18_neg12","2885783_C",5,"2885783_C"
"88","AU18_neg12","2315062_C",5,"2315062_C"
