"","sample.ID","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col"
"1","AU18_0163","103346_C",19,19,4620,0.00411255411255411,"103346_C"
"2","AU18_0163","2885759_C",22,41,4620,0.00887445887445888,"2885759_C"
"3","AU18_0163","262320_C",23,64,4620,0.0138528138528139,"262320_C"
"4","AU18_0163","135129_C",23,87,4620,0.0188311688311688,"135129_C"
"5","AU18_0163","C39ab",25,112,4620,0.0242424242424242,"C39ab"
"6","AU18_0163","1962377_C",25,137,4620,0.0296536796536797,"1962377_C"
"7","AU18_0163","C3dw",26,163,4620,0.0352813852813853,"C3dw"
"8","AU18_0163","948418_C",27,190,4620,0.0411255411255411,"948418_C"
"9","AU18_0163","C1cu",28,218,4620,0.0471861471861472,"C1cu"
"10","AU18_0163","2885734_C",29,247,4620,0.0534632034632035,"2885734_C"
"11","AU18_0163","1314109_C",31,278,4620,0.0601731601731602,"1314109_C"
"12","AU18_0163","2885758_C",33,311,4620,0.0673160173160173,"2885758_C"
"13","AU18_0163","2885736_C",34,345,4620,0.0746753246753247,"2885736_C"
"14","AU18_0163","2885733_C",36,381,4620,0.0824675324675325,"2885733_C"
"15","AU18_0163","1055322_C",37,418,4620,0.0904761904761905,"1055322_C"
"16","AU18_0163","94627_C",39,457,4620,0.0989177489177489,"94627_C"
"17","AU18_0163","2885735_C",43,500,4620,0.108225108225108,"2885735_C"
"18","AU18_0163","965969_C",48,548,4620,0.118614718614719,"965969_C"
"19","AU18_0163","C3an",53,601,4620,0.13008658008658,"C3an"
"20","AU18_0163","333087_C",54,655,4620,0.141774891774892,"333087_C"
"21","AU18_0163","2780845_C",63,718,4620,0.155411255411255,"2780845_C"
"22","AU18_0163","2885757_C",67,785,4620,0.16991341991342,"2885757_C"
"23","AU18_0163","2778029_C",73,858,4620,0.185714285714286,"2778029_C"
"24","AU18_0163","14636_C",73,931,4620,0.201515151515152,"14636_C"
"25","AU18_0163","C3ih",74,1005,4620,0.217532467532468,"C3ih"
"26","AU18_0163","24569_C",75,1080,4620,0.233766233766234,"24569_C"
"27","AU18_0163","2885732_C",78,1158,4620,0.250649350649351,"2885732_C"
"28","AU18_0163","1114496_C",94,1252,4620,0.270995670995671,"1114496_C"
"29","AU18_0163","C3hi",157,1409,4620,0.304978354978355,"C3hi"
"30","AU18_0163","C1",453,1862,4620,0.403030303030303,"C1"
"31","AU18_0163","C1ns",638,2500,4620,0.541125541125541,"C1ns"
