"","sample.ID","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","facet_column"
"1","AU18_0389","D1",4,4,5953,0.000671930119267596,"D1","158755","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"2","AU18_1128","1630543_C",4,4,470,0.00851063829787234,"1630543_C","158849","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"a"
"3","AU18_1128","1645678_C",4,8,470,0.0170212765957447,"1645678_C","158849","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"a"
"4","AU18_1128","2174376_C",4,12,470,0.025531914893617,"2174376_C","158849","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"a"
"5","AU18_0332","1645678_C",4,4,1159,0.00345125107851596,"1645678_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"6","AU18_0332","2786619_C",4,8,1159,0.00690250215703192,"2786619_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"7","AU18_0332","2282565_C",4,12,1159,0.0103537532355479,"2282565_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"8","AU18_0332","1645877_C",4,16,1159,0.0138050043140638,"1645877_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"9","AU18_0910","A1",4,4,6511,0.00061434495469206,"A1","158812","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"a"
"10","AU18_0895","D17d",4,4,3075,0.00130081300813008,"D17d","158809","Turbinaria","Turbinaria_mesenterina",152.71016,-24.11193,"a"
"11","AU18_0895","D17c",4,8,3075,0.00260162601626016,"D17c","158809","Turbinaria","Turbinaria_mesenterina",152.71016,-24.11193,"a"
"12","AU18_1010","D2.2",4,4,2567,0.00155823918971562,"D2.2","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"13","AU18_1010","2885791_D",4,8,2567,0.00311647837943124,"2885791_D","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"14","AU18_1010","D1dm",4,12,2567,0.00467471756914686,"D1dm","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"15","AU18_1010","6624_D",4,16,2567,0.00623295675886249,"6624_D","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"16","AU18_1010","25651_D",4,20,2567,0.00779119594857811,"25651_D","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"17","AU18_0071","C22",4,4,1009,0.00396432111000991,"C22","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"18","AU18_0071","C3",4,8,1009,0.00792864222001982,"C3","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"19","AU18_0071","C8a",4,12,1009,0.0118929633300297,"C8a","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"20","AU18_0071","1031429_C",4,16,1009,0.0158572844400396,"1031429_C","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"21","AU18_0071","2783442_C",4,20,1009,0.0198216055500496,"2783442_C","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"22","AU18_0071","2783357_C",4,24,1009,0.0237859266600595,"2783357_C","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"23","AU18_0071","1631480_C",4,28,1009,0.0277502477700694,"1631480_C","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"24","AU18_0237","2783481_C",4,4,1189,0.00336417157275021,"2783481_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"25","AU18_0237","1150766_C",4,8,1189,0.00672834314550042,"1150766_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"26","AU18_0237","1163943_C",4,12,1189,0.0100925147182506,"1163943_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"27","AU18_0237","962494_C",4,16,1189,0.0134566862910008,"962494_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"28","AU18_0237","2885751_C",4,20,1189,0.016820857863751,"2885751_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"29","AU18_0237","2885750_C",4,24,1189,0.0201850294365013,"2885750_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"30","AU18_0237","2785003_C",4,28,1189,0.0235492010092515,"2785003_C","158733","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"31","AU18_0821","C78c",4,4,5108,0.000783085356303837,"C78c","158806","Turbinaria","Turbinaria_sp.",151.929,-23.43327,"a"
"32","AU18_0468","C54l",4,4,6629,0.000603409262332177,"C54l","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"33","AU18_0468","C1cb",4,8,6629,0.00120681852466435,"C1cb","158764","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"a"
"34","AU18_0065","2885777_C",4,4,1050,0.00380952380952381,"2885777_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"35","AU18_0065","2885778_C",4,8,1050,0.00761904761904762,"2885778_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"36","AU18_0065","2885776_C",4,12,1050,0.0114285714285714,"2885776_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"37","AU18_0065","2885775_C",4,16,1050,0.0152380952380952,"2885775_C","158705","Turbinaria","Turbinaria_mesenterina",153.18158,-30.24195,"a"
"38","AU18_0113","C42e",4,4,1139,0.00351185250219491,"C42e","158718","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"39","AU18_0234","2885737_C",4,4,802,0.00498753117206983,"2885737_C","158732","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"a"
"40","AU18_0319","D17d",4,4,7529,0.000531279054323283,"D17d","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"41","AU18_0319","D17e",4,8,7529,0.00106255810864657,"D17e","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"42","AU18_0319","D17c",4,12,7529,0.00159383716296985,"D17c","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"43","AU18_0319","2885785_D",4,16,7529,0.00212511621729313,"2885785_D","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"44","AU18_0319","2885784_D",4,20,7529,0.00265639527161642,"2885784_D","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"45","AU18_0747","2885743_D",4,4,8322,0.000480653689017063,"2885743_D","158804","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"a"
"46","AU18_0747","40982_D",4,8,8322,0.000961307378034126,"40982_D","158804","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"a"
"47","AU18_0115","25566_D",4,4,304,0.0131578947368421,"25566_D","158720","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"a"
"48","AU18_0242","C21",4,4,979,0.00408580183861083,"C21","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"49","AU18_0242","1618671_C",4,8,979,0.00817160367722165,"1618671_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"50","AU18_0242","2783357_C",4,12,979,0.0122574055158325,"2783357_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"51","AU18_0242","2786412_C",4,16,979,0.0163432073544433,"2786412_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"52","AU18_0632","65155_C",4,4,4227,0.000946297610598533,"65155_C","158789","Turbinaria","Turbinaria_reniformis",150.92229,-23.16422,"a"
"53","AU18_0390","C42ae",4,4,760,0.00526315789473684,"C42ae","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"54","AU18_0390","C3eq",4,8,760,0.0105263157894737,"C3eq","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"55","AU18_0390","C1gj",4,12,760,0.0157894736842105,"C1gj","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"56","AU18_0390","2778862_C",4,16,760,0.0210526315789474,"2778862_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"57","AU18_0390","2778250_C",4,20,760,0.0263157894736842,"2778250_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"58","AU18_0390","2778140_C",4,24,760,0.0315789473684211,"2778140_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"59","AU18_0390","2777950_C",4,28,760,0.0368421052631579,"2777950_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"60","AU18_0352","C1it",4,4,921,0.00434310532030402,"C1it","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"61","AU18_0352","141464_C",4,8,921,0.00868621064060804,"141464_C","158751","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"62","AU18_0743","C42dr",4,4,115,0.0347826086956522,"C42dr","158801","Turbinaria","Turbinaria_patula",151.929,-23.43327,"a"
"63","AU18_0703","C22ah",4,4,56,0.0714285714285714,"C22ah","158798","Turbinaria","Turbinaria_patula",151.929,-23.43327,"a"
"64","AU18_0703","C1c",4,8,56,0.142857142857143,"C1c","158798","Turbinaria","Turbinaria_patula",151.929,-23.43327,"a"
"65","AU18_0484","C78c",4,4,41,0.0975609756097561,"C78c","158771","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"a"
"66","AU18_0484","C42a",4,8,41,0.195121951219512,"C42a","158771","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"a"
"67","AU18_0245","C3gk",4,4,25,0.16,"C3gk","158738","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"68","AU18_0245","722736_C",4,8,25,0.32,"722736_C","158738","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"69","AU18_0150","C1",4,4,8,0.5,"C1","158721","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"70","AU18_0150","C1nu",4,8,8,1,"C1nu","158721","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"71","AU18_0087","1398203_C",4,4,136,0.0294117647058824,"1398203_C","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"72","AU18_0087","C39ab",4,8,136,0.0588235294117647,"C39ab","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"73","AU18_0087","103346_C",4,12,136,0.0882352941176471,"103346_C","158713","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"74","AU18_0737","1612485_C",5,5,1264,0.00395569620253165,"1612485_C","158799","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"75","AU18_0737","1670426_C",5,10,1264,0.00791139240506329,"1670426_C","158799","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"a"
"76","AU18_0332","1148411_C",5,21,1159,0.0181190681622088,"1148411_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"77","AU18_0332","1630543_C",5,26,1159,0.0224331320103538,"1630543_C","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"78","AU18_0332","D4ae",5,31,1159,0.0267471958584987,"D4ae","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"79","AU18_0332","D17d",5,36,1159,0.0310612597066437,"D17d","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"80","AU18_0332","25566_D",5,41,1159,0.0353753235547886,"25566_D","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"a"
"81","AU18_0963","G3a",5,5,4984,0.00100321027287319,"G3a","158815","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"a"
"82","AU18_0824","D1id",5,5,6625,0.000754716981132075,"D1id","158807","Turbinaria","Turbinaria_reniformis",152.38847,-23.90505,"a"
"83","AU18_0485","C79b",5,5,1322,0.0037821482602118,"C79b","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"84","AU18_0485","C54b",5,10,1322,0.0075642965204236,"C54b","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"85","AU18_0485","C1j",5,15,1322,0.0113464447806354,"C1j","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"86","AU18_0485","D1",5,20,1322,0.0151285930408472,"D1","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"a"
"87","AU18_0895","D17e",5,13,3075,0.00422764227642276,"D17e","158809","Turbinaria","Turbinaria_mesenterina",152.71016,-24.11193,"a"
"88","AU18_1010","D4ae",5,25,2567,0.00973899493572263,"D4ae","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"a"
"89","AU18_0071","C42e",5,33,1009,0.0327056491575818,"C42e","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
"90","AU18_0071","1685230_C",5,38,1009,0.0376610505450942,"1685230_C","158710","Turbinaria","Turbinaria_reniformis",153.18158,-30.24195,"a"
