"","sample.ID","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","location"
"1","AU18_0457","158759","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"Brussels"
"2","AU18_0359","158752","Turbinaria","Turbinaria_mesenterina",153.55168,-27.39137,"Milan"
"3","AU18_1040","158831","Turbinaria","Turbinaria_mesenterina",151.74128,-24.00121,"Den Haag"
"4","AU18_0482","158769","Turbinaria","Turbinaria_patula",153.52519,-27.41415,"Paris"
"5","AU18_0388","158754","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"Milan"
"6","AU18_0696","158795","Turbinaria","Turbinaria_reniformis",150.92229,-23.16422,"Milan"
"7","AU18_0100","158714","Turbinaria","Turbinaria_patula",153.38793,-29.92353,"Brussels"
"8","AU18_0961","158813","Turbinaria","Turbinaria_mesenterina",151.74128,-24.00121,"Paris"
"9","AU18_0458","158760","Turbinaria","Turbinaria_patula",153.48416,-26.97812,"Rome"
"10","AU18_0389","158755","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"Rome"
"11","AU18_0456","158758","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"Rome"
"12","AU18_1081","158840","Turbinaria","Turbinaria_patula",151.47969,-23.99487,"Paris"
"13","AU18_1071","158835","Turbinaria","Turbinaria_mesenterina",151.74128,-24.00121,"Milan"
"14","AU18_0254","158741","Turbinaria","Turbinaria_patula",153.62861,-28.60497,"Milan"
"15","AU18_1138","158851","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Rome"
"16","AU18_0596","158782","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Milan"
"17","AU18_0742","158800","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"Milan"
"18","AU18_1128","158849","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Milan"
"19","AU18_0587","158777","Turbinaria","Turbinaria_reniformis",150.97526,-23.14819,"Milan"
"20","AU18_0614","158786","Turbinaria","Turbinaria_patula",150.97526,-23.14819,"Brussels"
"21","AU18_0583","158774","Turbinaria","Turbinaria_patula",150.97526,-23.14819,"Rome"
"22","AU18_0331","158749","Turbinaria","Turbinaria_patula",153.62861,-28.60497,"Rome"
"23","AU18_0251","158740","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"Brussels"
"24","AU18_0460","158762","Turbinaria","Turbinaria_mesenterina",153.52519,-27.41415,"Den Haag"
"25","AU18_0432","158757","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"Paris"
"26","AU18_1083","158841","Turbinaria","Turbinaria_patula",151.47969,-23.99487,"Den Haag"
"27","AU18_0459","158761","Turbinaria","Turbinaria_mesenterina",153.48416,-26.97812,"Milan"
"28","AU18_0737","158799","Turbinaria","Turbinaria_mesenterina",151.929,-23.43327,"Den Haag"
"29","AU18_1126","158848","Turbinaria","Turbinaria_reniformis",153.11325,-26.61472,"Milan"
"30","AU18_0615","158787","Turbinaria","Turbinaria_patula",150.97526,-23.14819,"Paris"
"31","AU18_0588","158778","Turbinaria","Turbinaria_reniformis",150.97526,-23.14819,"Rome"
"32","AU18_1129","158850","Turbinaria","Turbinaria_patula",153.11325,-26.61472,"Milan"
"33","AU18_0520","158773","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Brussels"
"34","AU18_1060","158834","Turbinaria","Turbinaria_patula",151.74128,-24.00121,"Den Haag"
"35","AU18_0111","158716","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"Den Haag"
"36","AU18_1123","158845","Turbinaria","Turbinaria_patula",153.11325,-26.61472,"Milan"
"37","AU18_0332","158750","Turbinaria","Turbinaria_patula",153.55168,-27.39137,"Den Haag"
"38","AU18_0963","158815","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"Den Haag"
"39","AU18_0964","158816","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"Paris"
"40","AU18_0702","158797","Turbinaria","Turbinaria_reniformis",150.92229,-23.16422,"Paris"
"41","AU18_0589","158779","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Rome"
"42","AU18_1039","158830","Turbinaria","Turbinaria_mesenterina",151.47969,-23.99487,"Paris"
"43","AU18_0967","158819","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Paris"
"44","AU18_0617","158788","Turbinaria","Turbinaria_patula",150.96651,-23.21146,"Den Haag"
"45","AU18_0685","158790","Turbinaria","Turbinaria_mesenterina",150.92229,-23.16422,"Paris"
"46","AU18_1031","158823","Turbinaria","Turbinaria_sp.",151.47969,-23.99487,"Brussels"
"47","AU18_0688","158792","Turbinaria","Turbinaria_mesenterina",150.92229,-23.16422,"Paris"
"48","AU18_0256","158742","Turbinaria","Turbinaria_patula",153.62861,-28.60497,"Milan"
"49","AU18_1038","158829","Turbinaria","Turbinaria_patula",151.47969,-23.99487,"Den Haag"
"50","AU18_0612","158785","Turbinaria","Turbinaria_patula",150.97526,-23.14819,"Milan"
"51","AU18_0686","158791","Turbinaria","Turbinaria_mesenterina",150.92229,-23.16422,"Paris"
"52","AU18_1124","158846","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Rome"
"53","AU18_0260","158744","Turbinaria","Turbinaria_mesenterina",153.26519,-30.20489,"Brussels"
"54","AU18_0592","158781","Turbinaria","Turbinaria_reniformis",150.97526,-23.14819,"Milan"
"55","AU18_0590","158780","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Milan"
"56","AU18_0910","158812","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"Brussels"
"57","AU18_0108","158715","Turbinaria","Turbinaria_patula",153.38793,-29.92353,"Paris"
"58","AU18_0824","158807","Turbinaria","Turbinaria_reniformis",152.38847,-23.90505,"Brussels"
"59","AU18_1079","158839","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Den Haag"
"60","AU18_0695","158794","Turbinaria","Turbinaria_patula",150.92229,-23.16422,"Den Haag"
"61","AU18_0597","158783","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Den Haag"
"62","AU18_0692","158793","Turbinaria","Turbinaria_reniformis",150.92229,-23.16422,"Den Haag"
"63","AU18_0257","158743","Turbinaria","Turbinaria_patula",153.62861,-28.60497,"Milan"
"64","AU18_0485","158772","Turbinaria","Turbinaria_mesenterina",150.97526,-23.14819,"Den Haag"
"65","AU18_0895","158809","Turbinaria","Turbinaria_mesenterina",152.71016,-24.11193,"Paris"
"66","AU18_0876","158808","Turbinaria","Turbinaria_reniformis",152.38847,-23.90505,"Rome"
"67","AU18_0599","158784","Turbinaria","Turbinaria_patula",153.48416,-26.97812,"Brussels"
"68","AU18_0745","158803","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"Milan"
"69","AU18_1035","158827","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Milan"
"70","AU18_1172","158853","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Den Haag"
"71","AU18_1033","158825","Turbinaria","Turbinaria_reniformis",151.47969,-23.99487,"Brussels"
"72","AU18_1111","158842","Turbinaria","Turbinaria_mesenterina",153.11325,-26.61472,"Milan"
"73","AU18_1075","158837","Turbinaria","Turbinaria_reniformis",151.74128,-24.00121,"Milan"
"74","AU18_1072","158836","Turbinaria","Turbinaria_mesenterina",151.74128,-24.00121,"Paris"
"75","AU18_0908","158811","Turbinaria","Turbinaria_mesenterina",151.74128,-24.00121,"Brussels"
"76","AU18_1032","158824","Turbinaria","Turbinaria_mesenterina",151.47969,-23.99487,"Milan"
"77","AU18_1010","158821","Turbinaria","Turbinaria_sp.",151.74225,-24.02064,"Rome"
"78","AU18_0164","158724","Turbinaria","Turbinaria_patula",153.26942,-30.01767,"Rome"
